log_log_M	ln_max_deriv	M_actual
1.0197814405382262	1.2575353056149277	16
1.242924991852436	1.6160933458219395	32
1.4252465486463906	1.9336883085621333	64
1.5793972284736488	2.1992476295853476	128
1.7129286210981716	2.43611771686781	256
