M	lambda	SvN	d_SvN
128	0.27	0.886688584	7.27001134999999
128	0.28	0.819186115	6.302937200000002
128	0.29	0.76062984	5.488198600000025
128	0.3	0.709422143	4.820137999999993
128	0.31	0.66422708	4.271356649999991
128	0.32	0.62399501	3.816072799999997
128	0.33	0.587905624	3.434175500000002
128	0.34	0.5553115	3.1104919500000037
128	0.35	0.525695785	2.8335227000000103
128	0.36	0.498641046	2.5944640999999997
128	0.37	0.473806503	2.3864934999999967
128	0.38	0.450911176	2.2042631499999956
128	0.39	0.42972124	2.0435367499999977
128	0.4	0.410040441	1.9009252000000032
128	0.41	0.391702736	1.773692550000007
128	0.42	0.37456659	1.6596107499999952
128	0.43	0.358510521	1.5568510499999988
128	0.44	0.343429569	1.4639008000000011
128	0.45	0.329232505	1.3794993999999985
128	0.46	0.315839581	1.3025894000000005
128	0.47	0.303180717	1.2322776500000021
128	0.48	0.291194028	1.1678050499999966
128	0.49	0.279824616	1.1085226499999976
128	0.5	0.269023575	1.0801041000000002
256	0.01	1.60711149	0.02669699999999775
256	0.02	1.60684452	0.035793499999996925
256	0.03	1.60639562	0.05420699999999101
256	0.04	1.60576038	0.07318250000000148
256	0.05	1.60493197	0.09309650000000147
256	0.06	1.60389845	0.11511099999999885
256	0.07	1.60262975	0.139102500000007
256	0.08	1.6011164	0.16429649999999185
256	0.09	1.59934382	0.1924719999999951
256	0.1	1.59726696	0.22583900000000767
256	0.11	1.59482704	0.2664584999999988
256	0.12	1.59193779	0.31992800000000443
256	0.13	1.58842848	0.41018099999999436
256	0.14	1.58373417	0.5081240000000093
256	0.15	1.578266	0.6085654999999974
256	0.16	1.57156286	0.7730174999999946
256	0.17	1.56280565	1.0395035000000235
256	0.18	1.55077279	1.4746185000000054
256	0.19	1.53331328	2.2197479999999956
256	0.2	1.50637783	3.530734499999994
256	0.21	1.46269859	5.691221999999996
256	0.22	1.39255339	8.638454499999995
256	0.23	1.2899295	11.035678500000003
256	0.24	1.17183982	11.428585499999997
256	0.25	1.06135779	10.24455969999999
256	0.26	0.966948626	8.705208299999988
256	0.27	0.887253624	7.381644599999994
256	0.28	0.819315734	6.3296497999999985
256	0.29	0.760660628	5.49429540000002
256	0.3	0.709429826	4.8215813999999995
256	0.31	0.664229	4.271715449999995
256	0.32	0.623995517	3.816162099999996
256	0.33	0.587905758	3.434198949999999
256	0.34	0.555311538	3.110498100000001
256	0.35	0.525695796	2.8335244500000094
256	0.36	0.498641049	2.5944645999999985
256	0.37	0.473806504	2.3864936499999985
256	0.38	0.450911176	2.2042631999999998
256	0.39	0.42972124	2.0435367499999977
256	0.4	0.410040441	1.9009252000000032
256	0.41	0.391702736	1.773692550000007
256	0.42	0.37456659	1.6596107499999952
256	0.43	0.358510521	1.5568510499999988
256	0.44	0.343429569	1.4639008000000011
256	0.45	0.329232505	1.3794993999999985
256	0.46	0.315839581	1.3025894000000005
256	0.47	0.303180717	1.2322776500000021
256	0.48	0.291194028	1.1678050499999966
256	0.49	0.279824616	1.1085226499999976
256	0.5	0.269023575	1.0801041000000002
