ln_L	ln_chi_F_max	ln_Delta_min
5.1298987149230735	5.140208937653942	-2.8627981004795675
5.262690188904886	5.4155074442173525	-2.9968435668116706
5.37989735354046	5.6582512179745335	-3.1149901787960195
5.484796933490655	5.87445615477547	-3.220842474957371
