L	lambda	concurrence
30.0	1.85	0.00856806532
30.0	1.86	0.00803052502
30.0	1.87	0.00748809133
30.0	1.88	0.00694078536
30.0	1.89	0.00638862772
30.0	1.9	0.00583163848
30.0	1.91	0.0052698371
30.0	1.92	0.00470324245
30.0	1.93	0.00413187273
30.0	1.94	0.00355574588
30.0	1.95	0.00297487891
30.0	1.96	0.00238928835
30.0	1.97	0.00179899013
30.0	1.98	0.00120399948
30.0	1.99	0.000604331448
30.0	2.0	6.11614648e-11
30.0	2.01	0.000608981679
30.0	2.02	0.00122260029
30.0	2.03	0.00184084368
30.0	2.04	0.00246370023
30.0	2.05	0.00309115893
30.0	2.06	0.00372320946
30.0	2.07	0.00435984212
30.0	2.08	0.00500104792
30.0	2.09	0.00564681854
30.0	2.1	0.00629714638
30.0	2.11	0.00695202455
30.0	2.12	0.00761144691
30.0	2.13	0.00827540807
30.0	2.14	0.00894390343
30.0	2.15	0.0096169292
30.0	2.16	0.0102944824
30.0	2.17	0.010976561
30.0	2.18	0.0116631637
30.0	2.19	0.0123542903
30.0	2.2	0.0130499415
30.0	2.21	0.013750119
30.0	2.22	0.0144548254
30.0	2.23	0.0151640648
30.0	2.24	0.0158778419
30.0	2.25	0.016596163
30.0	2.26	0.0173190355
30.0	2.27	0.0180464681
30.0	2.28	0.0187784708
30.0	2.29	0.0195150553
30.0	2.3	0.0202562344
30.0	2.31	0.0210020228
30.0	2.32	0.0217524367
30.0	2.33	0.0225074941
30.0	2.34	0.0232672148
30.0	2.35	0.0240316205
30.0	2.36	0.0248007349
30.0	2.37	0.0255745837
30.0	2.38	0.0263531952
30.0	2.39	0.0271365994
30.0	2.4	0.0279248293
30.0	2.41	0.0287179202
30.0	2.42	0.02951591
30.0	2.43	0.0303188395
30.0	2.44	0.0311267524
30.0	2.45	0.0319396955
30.0	2.46	0.0327577187
30.0	2.47	0.0335808753
30.0	2.48	0.034409222
30.0	2.49	0.0352428193
30.0	2.5	0.0360817314
