r	C(r)
0	0.22731799666418762
1	-0.12207654735003848
2	0.0033798044456553322
3	0.03419009288173108
4	-0.03333947388441391
5	0.002462338833275096
6	0.02017409178136828
7	-0.02396518953648627
8	0.007821455604855032
9	0.00959724847496135
10	-0.01624054040619069
11	0.007554605697509736
12	0.0060447473778801886
13	-0.013883478038986583
14	0.009645089390964312
15	0.001141810452491246
16	-0.009623019674581512
17	0.008715279734441778
18	-0.0005835382180794935
19	-0.007824509746323718
20	0.00924313896897791
21	-0.0034244102208760147
22	-0.004570036355829504
23	0.007757257194811962
24	-0.004133228568413222
25	-0.0030286299130381777
26	0.007359188087144891
27	-0.0056508173824658114
28	-0.0004792094784606682
29	0.0055289187122750105
30	-0.005538251467734692
31	0.000661418023522764
32	0.004639061400715433
33	-0.006054250124163135
34	0.0024891270324138015
35	0.0027299083801268775
36	-0.005284346953421573
37	0.0030838851558852853
38	0.001714934164012416
39	-0.005072697740289817
40	0.004162832088663637
41	-7.4036822274581304e-06
42	-0.0038633397845889428
43	0.004158295693861058
44	-0.0008482968080730652
45	-0.0032156173070773675
46	0.004536376636420064
47	-0.002169676095687384
48	-0.0018255814358519445
49	0.003990349063510146
50	-0.002630759329537685
51	-0.001037037873053162
52	0.003805977845733971
53	-0.003427561339201496
54	0.00027570305823279573
55	0.0028723756233223208
56	-0.0034168902319720584
57	0.0009443842837098537
58	0.0023341413320912274
59	-0.0036743842555584383
60	0.001968922653626165
61	0.0012258596090345408
62	-0.0032157973130305384
63	0.0023303920682843093
64	0.0005721348757344591
65	-0.00302267122849062
66	0.0029392311341161492
67	-0.0004870155281682803
68	-0.0022365046449937392
69	0.002904967250372592
70	-0.0010351597767375154
71	-0.0017579014109716518
72	0.003071500548655376
73	-0.00185777274693405
74	-0.0008242956588793149
75	0.002656955309945669
76	-0.0021381986179181967
77	-0.00026047424387889984
78	0.0024507398669775526
79	-0.0026093613862925025
80	0.0006263753111952347
81	0.0017591992846039683
82	-0.0025455786248823192
83	0.0010857994240546232
84	0.0013211856651479392
85	-0.0026404812904768094
86	0.0017622138098996737
87	0.0005107277170453839
88	-0.002248201312455872
89	0.001978089889995871
90	1.5094296855311384e-05
91	-0.002028611326354929
92	0.0023447706708874805
93	-0.0007432246717424262
94	-0.001401862638292145
95	0.0022538811897817312
96	-0.00113133016680457
97	-0.0009936993472274974
98	0.002292414401842441
99	-0.0016943321311570503
100	-0.0002748962989636561
101	0.001913897130198683
102	-0.001855451174295225
103	0.00016674923248921614
104	0.0016834943355258092
105	-0.002138739530200648
106	0.0008249989860823481
107	0.0011061023494704225
108	-0.002022299624674956
109	0.0011545972124506754
110	0.0007227644960417917
111	-0.002014969281520576
112	0.0016267282481155498
113	7.721227698341548e-05
114	-0.0016446857701470918
115	0.001741670740219678
116	-0.00031863477954115205
117	-0.0014056544535690496
118	0.001956978100064871
119	-0.0008948252765382247
120	-0.0008671474428656456
121	0.0018182238609656953
122	-0.0011738945185549715
123	-0.0005052797780230045
124	0.0017734794623944783
125	-0.001570343368064775
126	7.996361752270198e-05
127	0.001409543389646023
128	-0.0016446852380408439
129	0.000436133174157291
130	0.0011645134257930317
131	-0.0018029986736475823
132	0.0009433751234388665
133	0.0006589938181997546
134	-0.0016440476848897656
135	0.0011784238964063498
136	0.0003170940212620932
137	-0.0015682738315580536
138	0.001510664383305188
139	-0.00021618320507099664
140	-0.0012092407865029048
141	0.0015495513221454593
142	-0.0005364650103543284
143	-0.0009603873175812738
144	0.001659556244408375
145	-0.0009838962490132386
146	-0.00048344050302104313
147	0.0014831565821797343
148	-0.0011793045294244964
149	-0.00016041427705548728
150	0.0013817724183743663
151	-0.0014558160689447097
152	0.0003272723635688868
153	0.0010276445815472907
154	-0.001462874331525102
155	0.0006148030150900097
156	0.0007772358944796443
157	-0.0015313154393651746
158	0.0010095931941532799
159	0.00032634516237164957
160	-0.0013394581107104564
161	0.0011692640992236603
162	2.1877039961759603e-05
163	-0.0012168628339852688
164	0.001396902444973494
165	-0.000424612083178455
166	-0.0008676028330784624
167	0.001375672484994983
168	-0.0006814417588352217
169	-0.0006175558901257289
170	0.0014082033764699076
171	-0.001028982306675974
172	-0.0001907105461559505
173	0.0012032236970980215
174	-0.0011557427649656893
175	9.548302694960265e-05
176	0.0010633008757951062
177	-0.0013399624876921645
178	0.0005043446942072788
179	0.0007195631516928175
180	-0.001293139441470234
181	0.0007323608491245082
182	0.00047178555890850515
183	-0.0012944442648652604
184	0.0010371303381511154
185	6.786997300327335e-05
186	-0.0010781766057064712
187	0.0011336946517740282
188	-0.00019997478004651903
189	-0.0009242328997708105
190	0.0012791334266321341
191	-0.000573833906776372
192	-0.0005865327821396316
193	0.0012094477968614958
194	-0.0007743657906842949
195	-0.00034265185873612325
196	0.0011836130946203394
197	-0.0010399723413944961
198	3.928143808720752e-05
199	0.0009580993816071526
200	-0.0011084552565164274
201	0.0002888016281489547
202	0.000793118915489846
203	-0.0012190324990522666
204	0.0006299053741491006
205	0.00046232338390610195
206	-0.0011287002850077776
207	0.0008043032787181659
208	0.00022391419922962452
209	-0.0010792747518183765
210	0.0010338808413179607
211	-0.00013654380958375012
212	-0.0008462081825073298
213	0.0010764171840303427
214	-0.0003675962424271595
215	-0.0006728066433858149
216	0.0011555877971723139
217	-0.0006777226685537596
218	-0.00034963236715257473
219	0.00104688785268163
220	-0.0008270276082439076
221	-0.00011803652376901619
222	0.000977048327617469
223	-0.0010232620424482919
224	0.00022141486983703884
225	0.000738242666245767
226	-0.0010416220165218593
227	0.0004339971183006941
228	0.0005588074832076767
229	-0.0010924456226153179
230	0.0007147388303025415
231	0.0002441443988762948
232	-0.0009673158757877026
233	0.000840078533375338
234	2.0635336875879373e-05
235	-0.0008799106134418366
236	0.001005383328181994
237	-0.00029806725902245534
238	-0.0006369223936252139
239	0.001001398998333014
240	-0.00049209957338818
241	-0.00045357967236479835
242	0.001026641574304557
243	-0.0007448179060742244
244	-0.00014817869242850223
245	0.0008870758767303144
246	-0.0008471353442173896
247	6.617080707760348e-05
248	0.0007846974071012147
249	-0.00098368676548162
250	0.0003643956535927806
251	0.0005391440656862395
252	-0.0009589492912167596
253	0.0005399469241079841
254	0.0003538457017364105
255	-0.0009611440384058728
256	0.0007659071163734488
257	5.85298607611584e-05
258	-0.0008088929070535489
259	0.0008462499060266637
260	-0.00014565743877549553
261	-0.0006939128932573202
262	0.0009560531257897104
263	-0.00042358798415156884
264	-0.00044721260936746166
265	0.0009122215199665051
266	-0.000580692906943292
267	-0.0002617081269774002
268	0.0008936994307406354
269	-0.0007810536715573968
270	2.2822613950229664e-05
271	0.0007305521422804051
272	-0.0008403501541211361
273	0.00021602176359702963
274	0.0006051533378580165
275	-0.0009252827295247734
276	0.00047387457900593954
277	0.0003587436567231983
278	-0.0008638445776339709
279	0.0006127111235868926
280	0.00017464369415859382
281	-0.0008267886172271949
282	0.0007885793422221649
283	-9.838971339291847e-05
284	-0.0006543498575574402
285	0.0008278611056667523
286	-0.00027984063342899324
287	-0.000520551735145397
288	0.0008896846812216919
289	-0.0005178130867475039
290	-0.00027570962417342026
291	0.0008121878295771767
292	-0.0006385457396264338
293	-9.44566038527106e-05
294	0.0007586322201411366
295	-0.000790988687853933
296	0.0001664752064442776
297	0.0005785269284611927
298	-0.0008112043273571651
299	0.00033557648322452005
300	0.00043820204319426626
301	-0.0008516106929722655
302	0.0005539058913483219
303	0.00019619461310191322
304	-0.0007594730429013041
305	0.0006568323368385393
306	1.911687295719222e-05
307	-0.0006913485961859145
308	0.0007868887792776835
309	-0.00022913314249489725
310	-0.0005050545509435733
311	0.0007890811012148391
312	-0.0003853430207728936
313	-0.0003599434490135084
314	0.0008096784325243578
315	-0.0005842858704785958
316	-0.00012190394288466577
317	0.0007043658107083878
318	-0.0006697002961250365
319	4.981779955851029e-05
320	0.0006234880167665935
321	-0.000778405037710303
322	0.0002849011576229604
323	0.0004324861579087236
324	-0.000763554984565748
325	0.00042782253037515483
326	0.0002842103268955454
327	-0.000765911356200244
328	0.0006076767343319717
329	5.1241230789866865e-05
330	-0.000648785631300608
331	0.0006759950170114604
332	-0.00011404003271833774
333	-0.0005568893993234125
334	0.0007643672335867491
335	-0.0003355182726083872
336	-0.00036253825922200056
337	0.0007335380150837734
338	-0.0004648075746156305
339	-0.00021260399598607704
340	0.0007191577018599432
341	-0.0006259113196229182
342	1.4307312438677222e-05
343	0.0005916149886015104
344	-0.0006775505627406031
345	0.0001721982951225498
346	0.0004903415668340017
347	-0.0007466233532797822
348	0.0003797182661329085
349	0.00029398771039351734
350	-0.0007008289936950296
351	0.0004951651031800397
352	0.00014380116041257107
353	-0.0006711900893435485
354	0.0006378972460605592
355	-7.611095366981402e-05
356	-0.000534539222558944
357	0.0006733843803047035
358	-0.0002257452070854038
359	-0.0004254598167982293
360	0.0007241823264380887
361	-0.0004190137535878824
362	-0.00022834403443294793
363	0.000664506100686385
364	-0.0005204559149334376
365	-7.92048373108728e-05
366	0.0006210351451227947
367	-0.0006452462441000062
368	0.00013286850566898711
369	0.00047660543265620747
370	-0.0006651113234025785
371	0.0002735056063944835
372	0.00036121167783392805
373	-0.000698680242013
374	0.00045230700695524095
375	0.00016454952931861666
376	-0.0006261637284253885
377	0.0005397053982422184
378	1.767002513436422e-05
379	-0.0005702657072537698
380	0.0006470225085616621
381	-0.000185782113229907
382	-0.00041930980306434384
383	0.0006518934210034688
384	-0.00031675566000996525
385	-0.0002990267470540098
386	0.0006692740764427108
387	-0.0004809419964597744
388	-0.00010393918197401653
389	0.0005850146995338978
390	-0.0005543010645260027
391	3.957065027851425e-05
392	0.0005180502402409998
393	-0.000644668464920381
394	0.0002337114776202187
395	0.000361827864876485
396	-0.0006351763104700814
397	0.0003544746765361817
398	0.00023800989555609886
399	-0.0006374314454986457
400	0.0005039690798447488
401	4.5581052540072386e-05
402	-0.0005424888992616173
403	0.000563406928071053
404	-9.352775321008755e-05
405	-0.00046579611220123884
406	0.0006373842599024654
407	-0.00027773241002393423
408	-0.0003054967918530993
409	0.0006142457977711124
410	-0.0003878055715896833
411	-0.00017943111073871754
412	0.0006024339481800756
413	-0.0005226026831013642
414	9.342062640804727e-06
415	0.0004979102513445466
416	-0.000568276700509962
417	0.00014311907661812562
418	0.00041278649035722537
419	-0.0006264779900412576
420	0.0003168480292173037
421	0.0002495939884313153
422	-0.000590411875403235
423	0.0004158655871111805
424	0.0001225024279320197
425	-0.0005656100704447553
426	0.000536025546332336
427	-6.166494624371133e-05
428	-0.00045257090153165425
429	0.0005681973338174662
430	-0.00018925216660001243
431	-0.00036028667230013356
432	0.0006112692559906013
433	-0.0003520367134978858
434	-0.00019531808159592434
435	0.0005630673631035754
436	-0.00043969476524280404
437	-6.835250073802812e-05
438	0.0005263472288787874
439	-0.0005453498102497012
440	0.00011034122791005185
441	0.0004058871084005322
442	-0.0005643160019473681
443	0.00023098047034032787
444	0.0003076731437973712
445	-0.000592955880197657
446	0.00038243174982795225
447	0.0001420276997257941
448	-0.0005334094358458996
449	0.00045853512155441534
450	1.6277396428898694e-05
451	-0.0004858548346494407
452	0.0005498777109803482
453	-0.000156130113174488
454	-0.000359031390719286
455	0.0005560293501608582
456	-0.0002691318610251736
457	-0.0002560852953033266
458	0.0005709628045131032
459	-0.00040893521293985935
460	-9.079705173112296e-05
461	0.0005009235195274769
