k/pi	S(k)
0.5	0.15701153200137033
0.5001063874752187	0.15708360170529703
0.5002127749504375	0.15715574474811506
0.5003191624256562	0.1572279626928792
0.5004255499008748	0.15730025527744695
0.5005319373760936	0.1573726204510031
0.5006383248513123	0.15744505460828373
0.5007447123265311	0.15751755299594672
0.5008510998017498	0.1575901102458399
0.5009574872769685	0.15766272097668477
0.5010638747521872	0.1577353803972077
0.5011702622274059	0.1578080848444181
0.5012766497026246	0.15788083219719673
0.5013830371778434	0.15795362211959296
0.501489424653062	0.1580264561068232
0.5015958121282809	0.15809933732868542
0.5017021996034995	0.15817227028797776
0.5018085870787182	0.15824526033109554
0.501914974553937	0.15831831306558897
0.5020213620291557	0.1583914337483172
0.5021277495043743	0.15846462671231265
0.5022341369795932	0.15853789489569237
0.5023405244548118	0.15861123952456935
0.5024469119300305	0.15868465998529668
0.5025532994052493	0.15875815390003023
0.502659686880468	0.1588317173974566
0.5027660743556867	0.15890534554882563
0.5028724618309054	0.15897903292099125
0.5029788493061241	0.1590527741855018
0.5030852367813429	0.1591265647163237
0.5031916242565616	0.15920040111005473
0.5032980117317803	0.1592742815711793
0.503404399206999	0.15934820611964273
0.5035107866822177	0.15942217659778574
0.5036171741574365	0.1594961964756964
0.5037235616326552	0.15957027047659522
0.5038299491078738	0.15964440406349023
0.5039363365830927	0.15971860284383818
0.5040427240583113	0.15979287195814965
0.50414911153353	0.15986721551988864
0.5042554990087488	0.15994163616894239
0.5043618864839675	0.16001613478771828
0.5044682739591863	0.16009071041168477
0.504574661434405	0.16016536034402956
0.5046810489096237	0.16024008046193172
0.5047874363848424	0.16031486568073655
0.5048938238600611	0.16038971052452647
0.5050002113352798	0.16046460974030424
0.5051065988104986	0.16053955888764276
0.5052129862857172	0.1606145548387696
0.505319373760936	0.16068959613363892
0.5054257612361547	0.16076468315071302
0.5055321487113734	0.1608398180745359
0.5056385361865922	0.1609150046636204
0.5057449236618109	0.1609902478440955
0.5058513111370295	0.16106555317427668
0.5059576986122483	0.16114092623904128
0.506064086087467	0.16121637204108283
0.5061704735626857	0.1612918944564785
0.5062768610379045	0.16136749581451088
0.5063832485131232	0.16144317664848784
0.5064896359883418	0.16151893564506248
