k/pi	S(k)
0.5	0.15018398240786265
0.5001063874752187	0.15025277034141582
0.5002127749504375	0.1503216075625523
0.5003191624256562	0.1503904941663605
0.5004255499008748	0.15045943025608624
0.5005319373760936	0.15052841593862143
0.5006383248513123	0.15059745131960386
0.5007447123265311	0.15066653649865133
0.5008510998017498	0.1507356715652747
0.5009574872769685	0.15080485659590756
0.5010638747521872	0.15087409165240537
0.5011702622274059	0.15094337678215736
0.5012766497026246	0.15101271201981237
0.5013830371778434	0.15108209739043932
0.501489424653062	0.1511515329137521
0.5015958121282809	0.15122101860895734
0.5017021996034995	0.15129055449966583
0.5018085870787182	0.15136014061834288
0.501914974553937	0.15142977700979196
0.5020213620291557	0.1514994637332886
0.5021277495043743	0.15156920086313025
0.5022341369795932	0.15163898848752919
0.5023405244548118	0.1517088267059829
0.5024469119300305	0.15177871562539308
0.5025532994052493	0.151848655355383
0.502659686880468	0.15191864600330882
0.5027660743556867	0.1519886876695335
0.5028724618309054	0.15205878044347954
0.5029788493061241	0.15212892440089895
0.5030852367813429	0.15219911960266563
0.5031916242565616	0.15226936609522734
0.5032980117317803	0.15233966391266698
0.503404399206999	0.1524100130801477
0.5035107866822177	0.1524804136183658
0.5036171741574365	0.1525508655485117
0.5037235616326552	0.15262136889719985
0.5038299491078738	0.1526919237008163
0.5039363365830927	0.15276253000879972
0.5040427240583113	0.15283318788549743
0.50414911153353	0.15290389741038407
0.5042554990087488	0.15297465867661683
0.5043618864839675	0.15304547178808667
0.5044682739591863	0.15311633685529139
0.504574661434405	0.15318725399048022
0.5046810489096237	0.15325822330261304
0.5047874363848424	0.15332924489268976
0.5048938238600611	0.1534003188499643
0.5050002113352798	0.15347144524947132
0.5051065988104986	0.15354262415113273
0.5052129862857172	0.15361385560055213
0.505319373760936	0.1536851396314084
0.5054257612361547	0.15375647626918346
0.5055321487113734	0.1538278655358197
0.5056385361865922	0.15389930745478544
0.5057449236618109	0.15397080205599303
0.5058513111370295	0.15404234938002295
0.5059576986122483	0.15411394948118368
0.506064086087467	0.15418560242907275
0.5061704735626857	0.15425730830845247
0.5062768610379045	0.15432906721746809
0.5063832485131232	0.15440087926438725
0.5064896359883418	0.15447274456323046
0.5065960234635606	0.1545446632287719
0.5067024109387793	0.15461663537145884
0.5068087984139981	0.15468866109282528
0.5069151858892168	0.1547607404818861
0.5070215733644355	0.15483287361293982
0.5071279608396542	0.15490506054500205
0.5072343483148729	0.15497730132294615
0.5073407357900916	0.15504959598022877
0.5074471232653104	0.15512194454288702
0.507553510740529	0.1551943470343934
0.5076598982157479	0.1552668034807935
0.5077662856909665	0.15533931391559824
0.5078726731661852	0.1554118783838575
0.507979060641404	0.1554844969449826
0.5080854481166227	0.15555716967398944
0.5081918355918413	0.1556298966610364
0.5082982230670602	0.15570267800928975
0.5084046105422788	0.1557755138313671
0.5085109980174976	0.15584840424473642
0.5086173854927163	0.15592134936659047
0.508723772967935	0.15599434930875583
0.5088301604431538	0.15606740417319892
0.5089365479183724	0.15614051404864104
0.5090429353935912	0.15621367900863986
0.5091493228688099	0.1562868991113653
